Datasets,num_columns,num_rows,target_type,num_nan,num_float,num_int,perc_nan,Algorithm,Quality,Coverage,Support,WRAcc,Significance,Confidence,# of Subgroups,Length of Rules
iris,5,150,Binary,50.0,5,0,6.666999999999999,sd_map,-0.028638564238949386,0.3195555555555556,0.09555555555555555,-0.010962962962962952,0.7020417000113196,0.3046947690943839,15.0,2.1333333333333333
iris,5,150,Binary,50.0,5,0,6.666999999999999,dssd,-0.006549450549450525,0.25666666666666665,0.08533333333333334,-0.00022222222222221464,0.8598522894788617,0.32678388278388276,10.0,2.1333333333333333
iris,5,150,Binary,50.0,5,0,6.666999999999999,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.2
iris,5,150,Binary,50.0,5,0,6.666999999999999,a,,0.31585979304873313,0.14380952380952383,-0.007619047619047609,0.6046928998310607,0.31585979304873313,7.0,1.7142857142857142
pima-indians,9,768,Binary,0.0,8,1,0.0,sd,,0.0,0.0,0.0,,0.0,4.0,2.0
pima-indians,9,768,Binary,0.0,8,1,0.0,cn2_sd,-0.47601423255179853,0.025086805555555557,0.016550925925925924,0.0002183702256944444,0.10573650278596743,0.08855134955216654,45.0,3.933333333333333
pima-indians,9,768,Binary,0.0,8,1,0.0,sd_map,-0.21307965943340978,0.1934154992816092,0.08956312859195402,-0.03635842041951028,0.00920669407839308,0.43796200723325684,116.0,2.836206896551724
pima-indians,9,768,Binary,0.0,8,1,0.0,dssd,-0.21550941714125962,0.15986328125,0.0734375,-0.030640157063802083,0.013108623840450733,0.435532249525407,80.0,2.836206896551724
pima-indians,9,768,Binary,0.0,8,1,0.0,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.8
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,sd,0.0341978144844996,0.06236951983298539,0.02374739039665971,0.0021329012687357554,,0.09518828451882845,4.0,2.0
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,cn2_sd,-0.5284569978235923,0.1830353090678043,0.059839339203049825,-0.003592521559487777,0.1613314751763774,0.3306515765619663,46.0,3.5217391304347827
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,sd_map,0.0862703970637977,0.20869370712794513,0.08425290784372205,0.01192899263863041,0.06562409480793734,0.43282572065461195,14.0,1.5
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,dssd,0.11344203090654029,0.1315240083507307,0.056831361633031784,0.011251016359083356,0.07620898997331578,0.45999735449735446,9.0,1.5
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,nnmeef,0.6534446764091858,0.0040709812108559494,0.0040709812108559494,0.0026601609999956422,0.11025117057313533,1.0,50.0,4.66
tic-tac-toe,10,958,Binary,2406.0,9,1,25.115,a,,0.3839167797376753,0.13361169102296452,0.013149349941815106,0.04657128351025618,0.3839167797376753,5.0,1.0
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,sd,-0.33873595857699174,0.11838340486409156,0.000715307582260372,-0.04010071612624616,,0.0015105740181268882,4.0,2.0
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,cn2_sd,-0.1155741736765078,0.13072246065808296,0.04470672389127325,-0.0003635379379084338,0.006785460226865085,0.3994266923663952,16.0,1.9375
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,sd_map,0.6111223511258658,0.18886742480529356,0.17824416026386253,0.11312677917934788,3.94664530373975e-24,0.9559006057753651,491.0,4.3991853360488795
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,dssd,0.639346356492045,0.11802575107296137,0.11608198046899297,0.07538926801036108,1.4080882159262678e-23,0.9841246111415444,92.0,4.3991853360488795
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,nnmeef,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.12
wisconsin,10,699,Binary,16.0,9,1,0.22899999999999998,a,,0.9554067974119874,0.17956145573238314,0.11393740415313365,1.832668121590822e-24,0.9554067974119874,483.0,4.364389233954451
